Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,2/10/2017,edgar/data/1084869/0001437749-17-002102.txt
10-Q,1PM Industries,859747,1/23/2017,edgar/data/859747/0001477932-17-000382.txt
10-Q,3DICON CORP,1375195,3/27/2017,edgar/data/1375195/0001144204-17-016710.txt
10-Q,3Power Energy Group Inc.,1221554,2/21/2017,edgar/data/1221554/0001144204-17-010014.txt
10-Q,5V Inc.,1504876,2/21/2017,edgar/data/1504876/0001213900-17-001603.txt
10-Q,8X8 INC /DE/,1023731,2/8/2017,edgar/data/1023731/0001136261-17-000025.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,2/13/2017,edgar/data/1539778/0001477932-17-000706.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,2/8/2017,edgar/data/1591588/0001591588-17-000010.txt
10-Q,AAR CORP,1750,3/22/2017,edgar/data/1750/0001104659-17-018555.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,1/12/2017,edgar/data/1605331/0001640334-17-000080.txt
10-Q,ABAXIS INC,881890,2/9/2017,edgar/data/881890/0001140361-17-005393.txt
10-Q,ABIOMED INC,815094,2/3/2017,edgar/data/815094/0001564590-17-000958.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,3/8/2017,edgar/data/771497/0001628280-17-002368.txt
10-Q,ACCURAY INC,1138723,2/3/2017,edgar/data/1138723/0001104659-17-006464.txt
10-Q,ACETO CORP,2034,2/3/2017,edgar/data/2034/0001571049-17-000995.txt
10-Q,"ACRO BIOMEDICAL CO., LTD.",1622996,2/14/2017,edgar/data/1622996/0001640334-17-000299.txt
10-Q,"ACTIVECARE, INC.",1429896,2/21/2017,edgar/data/1429896/0001096906-17-000116.txt
10-Q,ACTUANT CORP,6955,1/9/2017,edgar/data/6955/0001628280-17-000154.txt
10-Q,ACUITY BRANDS INC,1144215,1/9/2017,edgar/data/1144215/0001144215-17-000005.txt
10-Q,ACXIOM CORP,733269,2/2/2017,edgar/data/733269/0000733269-17-000014.txt
10-Q,ADDENTAX GROUP CORP.,1650101,2/21/2017,edgar/data/1650101/0001493152-17-001791.txt
10-Q,ADDVANTAGE TECHNOLOGIES GROUP INC,874292,2/14/2017,edgar/data/874292/0001445260-17-000008.txt
