Form Type,Company Name,CIK,Date Filed,File Name
10-Q,"024 Pharma, Inc.",1307969,4/11/2017,edgar/data/1307969/0001683168-17-000889.txt
10-Q,1 800 FLOWERS COM INC,1084869,5/12/2017,edgar/data/1084869/0001437749-17-008869.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,5/11/2017,edgar/data/1591890/0001387131-17-002635.txt
10-Q,1847 Holdings LLC,1599407,5/22/2017,edgar/data/1599407/0001477932-17-002495.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,5/9/2017,edgar/data/1141807/0001141807-17-000035.txt
10-Q,1ST SOURCE CORP,34782,4/20/2017,edgar/data/34782/0000034782-17-000046.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,5/15/2017,edgar/data/38723/0001376474-17-000163.txt
10-Q,"2050 MOTORS, INC.",867028,5/22/2017,edgar/data/867028/0001493152-17-005773.txt
10-Q,"22nd Century Group, Inc.",1347858,5/8/2017,edgar/data/1347858/0001144204-17-025219.txt
10-Q,"2U, Inc.",1459417,5/4/2017,edgar/data/1459417/0001104659-17-029892.txt
10-Q,3D SYSTEMS CORP,910638,5/3/2017,edgar/data/910638/0000910638-17-000007.txt
10-Q,3DICON CORP,1375195,5/15/2017,edgar/data/1375195/0001144204-17-027338.txt
10-Q,3M CO,66740,5/3/2017,edgar/data/66740/0001558370-17-003391.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,5/15/2017,edgar/data/1496443/0001683168-17-001254.txt
10-Q,5V Inc.,1504876,5/22/2017,edgar/data/1504876/0001213900-17-005674.txt
10-Q,8point3 Energy Partners LP,1635581,4/6/2017,edgar/data/1635581/0001564590-17-006090.txt
10-Q,8point3 Energy Partners LP,1635581,6/29/2017,edgar/data/1635581/0001628280-17-006844.txt
10-Q,99 CENTS ONLY STORES LLC,1011290,6/9/2017,edgar/data/1011290/0001104659-17-038408.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,5/8/2017,edgar/data/1539778/0001477932-17-002095.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,5/10/2017,edgar/data/1591588/0001591588-17-000031.txt
10-Q,A. H. Belo Corp,1413898,5/3/2017,edgar/data/1413898/0001413898-17-000025.txt
10-Q,"A10 Networks, Inc.",1580808,5/5/2017,edgar/data/1580808/0001580808-17-000031.txt
10-Q,"AAC Holdings, Inc.",1606180,5/4/2017,edgar/data/1606180/0001564590-17-008855.txt
10-Q,AAON INC,824142,5/4/2017,edgar/data/824142/0000824142-17-000083.txt
10-Q,AARON'S INC,706688,5/3/2017,edgar/data/706688/0000706688-17-000078.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,4/14/2017,edgar/data/1605331/0001640334-17-000710.txt
10-Q,AB Private Credit Investors Corp,1634452,5/12/2017,edgar/data/1634452/0001193125-17-168712.txt
10-Q,ABBOTT LABORATORIES,1800,5/3/2017,edgar/data/1800/0001104659-17-029430.txt
10-Q,"ABCO Energy, Inc.",1300938,5/22/2017,edgar/data/1300938/0001185185-17-001242.txt
10-Q,ABEONA THERAPEUTICS INC.,318306,5/15/2017,edgar/data/318306/0001144204-17-027498.txt
10-Q,ABERCROMBIE & FITCH CO /DE/,1018840,6/5/2017,edgar/data/1018840/0001018840-17-000022.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,6/8/2017,edgar/data/771497/0001628280-17-006316.txt
10-Q,ABRAXAS PETROLEUM CORP,867665,5/10/2017,edgar/data/867665/0000867665-17-000044.txt
10-Q,"ABV CONSULTING, INC.",1607450,5/12/2017,edgar/data/1607450/0001640334-17-000910.txt
10-Q,ACACIA RESEARCH CORP,934549,5/10/2017,edgar/data/934549/0000934549-17-000019.txt
10-Q,ACADIA PHARMACEUTICALS INC,1070494,5/9/2017,edgar/data/1070494/0001564590-17-009889.txt
10-Q,ACADIA REALTY TRUST,899629,4/28/2017,edgar/data/899629/0000899629-17-000049.txt
10-Q,"ACCELERA INNOVATIONS, INC.",1444144,5/18/2017,edgar/data/1444144/0001493152-17-005572.txt
10-Q,ACCELERON PHARMA INC,1280600,5/8/2017,edgar/data/1280600/0001280600-17-000029.txt
10-Q,ACCESS NATIONAL CORP,1176316,5/19/2017,edgar/data/1176316/0001628280-17-005736.txt
10-Q,ACCO BRANDS Corp,712034,5/9/2017,edgar/data/712034/0000712034-17-000052.txt
10-Q,ACCURAY INC,1138723,5/5/2017,edgar/data/1138723/0001104659-17-030321.txt
10-Q,ACELRX PHARMACEUTICALS INC,1427925,5/8/2017,edgar/data/1427925/0001437749-17-008313.txt
10-Q,ACETO CORP,2034,5/5/2017,edgar/data/2034/0001571049-17-004520.txt
10-Q,ACHILLION PHARMACEUTICALS INC,1070336,5/4/2017,edgar/data/1070336/0001193125-17-158859.txt
10-Q,"ACI WORLDWIDE, INC.",935036,5/4/2017,edgar/data/935036/0001193125-17-157543.txt
10-Q,ACME UNITED CORP,2098,5/12/2017,edgar/data/2098/0001026608-17-000023.txt
10-Q,ACNB CORP,715579,4/28/2017,edgar/data/715579/0001104659-17-027352.txt
10-Q,ACORDA THERAPEUTICS INC,1008848,5/9/2017,edgar/data/1008848/0001564590-17-009938.txt
10-Q,"ACORN ENERGY, INC.",880984,5/15/2017,edgar/data/880984/0001493152-17-005328.txt
10-Q,ACRE REALTY INVESTORS INC,1011109,5/10/2017,edgar/data/1011109/0001552781-17-000310.txt
10-Q,"ACRO BIOMEDICAL CO., LTD.",1622996,5/22/2017,edgar/data/1622996/0001640334-17-001056.txt
10-Q,"ACTIVECARE, INC.",1429896,5/19/2017,edgar/data/1429896/0001096906-17-000377.txt
10-Q,ACTUANT CORP,6955,4/7/2017,edgar/data/6955/0000006955-17-000021.txt
10-Q,ACUITY BRANDS INC,1144215,4/4/2017,edgar/data/1144215/0001144215-17-000039.txt
10-Q,ACUITY BRANDS INC,1144215,6/29/2017,edgar/data/1144215/0001144215-17-000068.txt
10-Q,"ACURA PHARMACEUTICALS, INC",786947,5/12/2017,edgar/data/786947/0001144204-17-026909.txt
10-Q,ADAMANT DRI PROCESSING & MINERALS GROUP,1171008,5/12/2017,edgar/data/1171008/0001193805-17-000830.txt
10-Q,"ADAMS RESOURCES & ENERGY, INC.",2178,5/9/2017,edgar/data/2178/0000002178-17-000038.txt
10-Q,"ADCARE HEALTH SYSTEMS, INC",1004724,5/15/2017,edgar/data/1004724/0001004724-17-000031.txt
10-Q,ADDVANTAGE TECHNOLOGIES GROUP INC,874292,5/15/2017,edgar/data/874292/0001445260-17-000028.txt
10-Q,ADESTO TECHNOLOGIES Corp,1395848,5/15/2017,edgar/data/1395848/0001564590-17-010978.txt
10-Q,"ADM ENDEAVORS, INC.",1588014,6/15/2017,edgar/data/1588014/0001493152-17-006652.txt
